,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-245,18.503023624420166
1,EP005,2,-3,-2,-187,18.330002784729004
2,EP010,-1,0,-3,-390,32.192277908325195
3,EP020,0,-4,-3,-246,19.296823978424072
4,EP030,1,16,-2,-2,35.20733952522278
5,EP040,1,8,4,-4,24.3571457862854
6,EP050,1,-3,-3,-151,20.588964223861694
7,EP060,2,-3,-2,-9,9.70346188545227
8,EP070,2,5,-3,-2,31.68713140487671
9,EP080,1,-9,-2,-282,10.26460337638855
10,EP090,-1,-12,-2,-4,31.247869729995728
11,EP100,1,-4,-3,52,25.99346137046814
12,EP110,0,3,-2,-3,22.339704990386963
13,EP120,1,2,-1,-152,28.826563596725464
14,EP130,0,-1,-2,-2,23.082858562469482
15,EP140,0,0,-2,-8,20.96485948562622
16,EP150,1,-1,-1,-4,20.135947465896606
